iter	RMSE
0	1630.895509
1	1547.983879
2	1477.888933
3	1416.020397
4	1367.262199
5	1325.590318
6	1286.682257
7	1253.968081
8	1226.319343
9	1204.052959
10	1185.44654
11	1168.277457
12	1154.129882
13	1143.55013
14	1133.352972
15	1126.350872
16	1119.551367
17	1114.223777
18	1109.118798
19	1104.740605
20	1101.216187
21	1097.776246
22	1094.683968
23	1091.767822
24	1089.699872
25	1087.455589
26	1086.129912
27	1084.579877
28	1083.07567
29	1081.583094
30	1080.741407
31	1079.863987
32	1078.679567
33	1077.414357
34	1076.837508
35	1075.960602
36	1074.834013
37	1074.029064
38	1072.997979
39	1072.328324
40	1071.650243
41	1070.746143
42	1069.891283
43	1069.78331
44	1069.09947
45	1068.433266
46	1067.943989
47	1067.076279
48	1066.656649
49	1065.456901
