iter	Passed	Remaining
0	8	393
1	15	377
2	22	346
3	28	325
4	34	308
5	39	290
6	44	274
7	49	262
8	55	251
9	59	237
10	63	225
11	68	215
12	72	205
13	76	195
14	79	185
15	82	176
16	87	169
17	91	161
18	94	154
19	98	148
20	102	141
21	105	134
22	109	128
23	112	122
24	116	116
25	120	111
26	123	105
27	127	100
28	131	95
29	135	90
30	139	85
31	143	80
32	146	75
33	150	70
34	153	65
35	157	61
36	161	56
37	164	52
38	167	47
39	171	42
40	174	38
41	177	33
42	180	29
43	182	24
44	186	20
45	189	16
46	192	12
47	195	8
48	198	4
49	203	0
