iter	RMSE
0	1667.030442
1	1618.616929
2	1575.036623
3	1534.114123
4	1495.963462
5	1461.330914
6	1429.327408
7	1400.380852
8	1373.433459
9	1347.503466
10	1325.526574
11	1304.47434
12	1284.507972
13	1267.465514
14	1251.452996
15	1236.992022
16	1223.493449
17	1210.342738
18	1198.301383
19	1187.546062
20	1178.037668
21	1169.825536
22	1161.867599
23	1154.335801
24	1148.068067
25	1142.507129
26	1136.969742
27	1131.651492
28	1127.777872
29	1124.203922
30	1120.668942
31	1117.10273
32	1113.720472
33	1110.975558
34	1108.507533
35	1106.360206
36	1104.362353
37	1102.340214
38	1100.246771
39	1098.869947
40	1097.270303
41	1095.745116
42	1094.29196
43	1092.927879
44	1091.776283
45	1090.549166
46	1089.605796
47	1088.543525
48	1088.12867
49	1087.250701
50	1086.66987
51	1085.890832
52	1085.243826
53	1084.430782
54	1083.956649
55	1083.30399
56	1082.813398
57	1082.359897
58	1082.041916
59	1081.354866
60	1080.972201
61	1080.680557
62	1080.370419
63	1080.016575
64	1079.289547
65	1078.850205
66	1078.610316
67	1078.206842
68	1077.655353
69	1077.511737
70	1076.98103
71	1076.680387
72	1076.31587
73	1075.938154
74	1075.521183
75	1075.277503
76	1075.100145
77	1074.824595
78	1074.618933
79	1074.343551
80	1074.129096
81	1073.805176
82	1073.557819
83	1073.348539
84	1073.050116
85	1072.708046
86	1072.372676
87	1072.064272
88	1071.81004
89	1071.65011
90	1071.402565
91	1071.155249
92	1070.908469
93	1070.731539
94	1070.524438
95	1070.313225
96	1070.052328
97	1069.888804
98	1069.746917
99	1069.584454
100	1069.429343
101	1069.276747
102	1069.120355
103	1068.968224
104	1068.63074
105	1068.47909
106	1068.166593
107	1067.968115
108	1067.855714
109	1067.719483
110	1067.622574
111	1067.445174
112	1067.266707
113	1066.99559
114	1066.682701
115	1066.440437
116	1066.115029
117	1066.003033
118	1065.885073
119	1065.359016
120	1065.252304
121	1065.013028
122	1064.885686
123	1064.708405
124	1064.636134
125	1064.443006
126	1064.279266
127	1064.112925
128	1063.907045
129	1063.7803
130	1063.713729
131	1063.502422
132	1063.160701
133	1063.000133
134	1062.801339
135	1062.672851
136	1062.489833
137	1062.293312
138	1062.110713
139	1062.007052
140	1061.629893
141	1061.525388
142	1061.01551
143	1060.968362
144	1060.826875
145	1060.691747
146	1060.583114
147	1060.46094
148	1060.277634
149	1060.064136
150	1059.686235
151	1059.384604
152	1059.197323
153	1058.954683
154	1058.765427
155	1058.613075
156	1058.479791
157	1058.26136
158	1057.987865
159	1057.808383
160	1057.555723
161	1057.28141
162	1057.042423
163	1056.900562
164	1056.662997
165	1056.466282
166	1056.243804
167	1056.06711
168	1055.84921
169	1055.677887
170	1055.499371
171	1055.327321
172	1055.148673
173	1054.992344
174	1054.801427
175	1054.562516
176	1054.352298
177	1054.141312
178	1053.9452
179	1053.725089
180	1053.51198
181	1053.351432
182	1053.192003
183	1053.062803
184	1052.843843
185	1052.618955
186	1052.428874
187	1052.149362
188	1051.897775
189	1051.740299
190	1051.521124
191	1051.278735
192	1051.045116
193	1050.813613
194	1050.559607
195	1050.395982
196	1050.22283
197	1050.074675
198	1049.934091
199	1049.755457
200	1049.57954
201	1049.33321
202	1049.153159
203	1048.957678
204	1048.78558
205	1048.68903
206	1048.525513
207	1048.369686
208	1048.154413
209	1048.042739
210	1047.837976
211	1047.670843
212	1047.514248
213	1047.333024
214	1047.209957
215	1047.069472
216	1046.967955
217	1046.884272
218	1046.758994
219	1046.680783
220	1046.586058
221	1046.389898
222	1046.168441
223	1045.961655
224	1045.697003
225	1045.544326
226	1045.346518
227	1045.109061
228	1044.823769
229	1044.685586
230	1044.516001
231	1044.303061
232	1044.169963
233	1044.004435
234	1043.814878
235	1043.564032
236	1043.39874
237	1043.187116
238	1043.093469
239	1043.019126
240	1042.771787
241	1042.599687
242	1042.381089
243	1042.260147
244	1042.187793
245	1041.983012
246	1041.897772
247	1041.712054
248	1041.643631
249	1041.553467
250	1041.278553
251	1041.193681
252	1040.981547
253	1040.839422
254	1040.674835
255	1040.480288
256	1040.402959
257	1040.204875
258	1040.118615
259	1040.00391
260	1039.935413
261	1039.849194
262	1039.753165
263	1039.645263
264	1039.581649
265	1039.466186
266	1039.249434
267	1039.180989
268	1039.095683
269	1038.984153
270	1038.892128
271	1038.676335
272	1038.437924
