iter	Passed	Remaining
0	170	170447
1	199	99364
2	226	75401
3	251	62604
4	275	54917
5	296	49068
6	314	44611
7	331	41087
8	344	37987
9	360	35727
10	375	33770
11	394	32512
12	412	31298
13	428	30202
14	438	28794
15	451	27776
16	463	26804
17	476	25970
18	489	25257
19	502	24606
20	515	24052
21	527	23456
22	540	22960
23	553	22523
24	566	22103
25	579	21711
26	591	21324
27	604	20970
28	616	20656
29	629	20353
30	641	20051
31	652	19734
32	664	19457
33	676	19214
34	691	19054
35	706	18927
36	723	18822
37	737	18676
38	752	18545
39	766	18393
40	780	18253
41	794	18129
42	809	18026
43	828	17995
44	842	17888
45	857	17782
46	872	17698
47	888	17620
48	905	17568
49	920	17481
50	936	17431
51	953	17382
52	969	17324
53	984	17241
54	998	17163
55	1014	17106
56	1030	17042
57	1044	16966
58	1059	16891
59	1073	16818
60	1088	16761
61	1104	16710
62	1119	16649
63	1135	16605
64	1150	16555
65	1164	16485
66	1181	16449
67	1196	16396
68	1210	16329
69	1225	16283
70	1242	16253
71	1259	16228
72	1275	16193
73	1289	16130
74	1301	16053
75	1314	15978
76	1325	15889
77	1340	15850
78	1353	15780
79	1367	15731
80	1380	15659
81	1391	15577
82	1403	15504
83	1415	15439
84	1428	15382
85	1440	15313
86	1453	15249
87	1467	15207
88	1480	15158
89	1493	15100
90	1505	15036
91	1517	14974
92	1529	14920
93	1542	14865
94	1553	14797
95	1566	14750
96	1579	14700
97	1591	14649
98	1603	14591
99	1614	14533
100	1628	14491
101	1641	14450
102	1653	14399
103	1665	14347
104	1678	14304
105	1690	14258
106	1703	14216
107	1714	14160
108	1726	14114
109	1739	14072
110	1751	14023
111	1762	13977
112	1776	13941
113	1788	13902
114	1800	13852
115	1812	13809
116	1824	13772
117	1837	13734
118	1849	13691
119	1862	13654
120	1875	13622
121	1890	13608
122	1907	13601
123	1922	13582
124	1937	13559
125	1950	13531
126	1965	13508
127	1978	13475
128	1990	13442
129	2003	13411
130	2019	13393
131	2034	13381
132	2049	13359
133	2062	13331
134	2076	13306
135	2089	13273
136	2101	13238
137	2115	13216
138	2130	13195
139	2143	13170
140	2158	13150
141	2171	13122
142	2185	13096
143	2197	13062
144	2209	13026
145	2219	12984
146	2231	12949
147	2244	12919
148	2254	12879
149	2267	12848
150	2281	12828
151	2294	12800
152	2305	12760
153	2317	12730
154	2330	12704
155	2343	12677
156	2354	12642
157	2369	12627
158	2381	12595
159	2394	12571
160	2407	12548
161	2420	12519
162	2432	12491
163	2445	12467
164	2458	12441
165	2470	12412
166	2483	12386
167	2496	12362
168	2510	12344
169	2522	12316
170	2535	12291
171	2547	12263
172	2559	12237
173	2571	12207
174	2582	12175
175	2595	12150
176	2608	12127
177	2621	12103
178	2633	12077
179	2645	12050
180	2657	12026
181	2670	12001
182	2681	11971
183	2692	11941
184	2705	11918
185	2717	11894
186	2729	11867
187	2742	11844
188	2755	11823
189	2768	11801
190	2781	11783
191	2793	11756
192	2807	11737
193	2819	11716
194	2833	11698
195	2848	11684
196	2861	11662
197	2874	11643
198	2888	11625
199	2902	11610
200	2915	11591
201	2929	11573
202	2941	11548
203	2954	11527
204	2967	11507
205	2981	11491
206	2995	11475
207	3008	11456
208	3021	11435
209	3034	11416
210	3048	11400
211	3061	11381
212	3075	11364
213	3088	11342
214	3101	11324
215	3115	11307
216	3127	11286
217	3141	11267
218	3153	11245
219	3165	11221
220	3178	11203
221	3191	11183
222	3205	11168
223	3216	11141
224	3229	11123
225	3242	11104
226	3255	11086
227	3268	11066
228	3280	11045
229	3293	11026
230	3306	11007
231	3318	10985
232	3328	10958
233	3341	10937
234	3353	10916
235	3364	10890
236	3383	10893
237	3398	10880
238	3411	10861
239	3423	10840
240	3436	10821
241	3446	10795
242	3458	10774
243	3471	10754
244	3484	10736
245	3495	10712
246	3506	10690
247	3519	10673
248	3532	10655
249	3545	10635
250	3558	10618
251	3570	10598
252	3583	10579
253	3595	10559
254	3607	10540
255	3620	10522
256	3633	10503
257	3646	10488
258	3658	10468
259	3671	10449
260	3684	10431
261	3696	10412
262	3707	10390
263	3719	10369
264	3732	10351
265	3744	10333
266	3756	10311
267	3768	10292
268	3781	10276
269	3794	10258
270	3806	10238
271	3818	10221
272	3832	10205
273	3844	10185
274	3855	10163
275	3867	10144
276	3879	10126
277	3893	10111
278	3905	10093
279	3917	10073
280	3930	10057
281	3945	10046
282	3958	10030
283	3974	10019
284	3989	10008
285	4002	9993
286	4016	9977
287	4030	9963
288	4044	9951
289	4060	9941
290	4075	9929
291	4088	9913
292	4102	9899
293	4116	9885
294	4130	9870
295	4143	9855
296	4157	9840
297	4171	9827
298	4184	9811
299	4195	9789
300	4208	9773
301	4221	9756
302	4234	9741
303	4247	9723
304	4259	9705
305	4271	9688
306	4284	9672
307	4295	9651
308	4307	9633
309	4320	9617
310	4333	9601
311	4346	9585
312	4358	9567
313	4372	9553
314	4385	9536
315	4398	9521
316	4410	9503
317	4422	9485
318	4434	9467
319	4447	9450
320	4459	9433
321	4471	9415
322	4484	9398
323	4495	9379
324	4507	9362
325	4519	9343
326	4531	9327
327	4545	9312
328	4558	9297
329	4571	9281
330	4586	9270
331	4600	9256
332	4613	9240
333	4628	9228
334	4639	9209
335	4652	9193
336	4666	9181
337	4680	9167
338	4694	9153
339	4708	9140
340	4723	9128
341	4736	9113
342	4749	9098
343	4763	9083
344	4776	9068
345	4789	9052
346	4803	9039
347	4817	9025
348	4831	9011
349	4842	8993
350	4855	8977
351	4866	8959
352	4878	8941
353	4890	8925
354	4904	8910
355	4916	8894
356	4927	8875
357	4939	8857
358	4952	8842
359	4965	8827
360	4978	8811
361	4990	8795
362	5002	8778
363	5015	8762
364	5026	8744
365	5038	8727
366	5051	8712
367	5063	8696
368	5076	8680
369	5087	8662
370	5100	8647
371	5113	8632
372	5127	8619
373	5139	8602
374	5151	8586
375	5164	8571
376	5177	8556
377	5190	8541
378	5203	8526
379	5216	8510
380	5229	8495
381	5243	8483
382	5256	8467
383	5268	8450
384	5280	8435
385	5294	8421
386	5307	8406
387	5319	8390
388	5330	8373
389	5347	8363
390	5359	8347
391	5371	8331
392	5382	8313
393	5395	8298
394	5407	8283
395	5421	8268
396	5433	8252
397	5445	8236
398	5458	8221
399	5470	8206
400	5481	8188
401	5494	8173
402	5507	8158
403	5520	8144
404	5533	8129
405	5545	8113
406	5558	8098
407	5570	8082
408	5583	8067
409	5594	8050
410	5607	8036
411	5622	8024
412	5635	8009
413	5649	7997
414	5662	7981
415	5674	7965
416	5686	7950
417	5698	7934
418	5711	7919
419	5723	7904
420	5736	7889
421	5749	7874
422	5761	7859
423	5774	7844
424	5787	7829
425	5800	7815
426	5813	7801
427	5826	7786
428	5838	7771
429	5852	7758
430	5866	7744
431	5879	7730
432	5891	7714
433	5903	7698
434	5916	7684
435	5929	7670
436	5943	7657
437	5955	7642
438	5968	7626
439	5981	7612
440	5994	7598
441	6006	7583
442	6018	7567
443	6032	7553
444	6046	7541
445	6060	7527
446	6073	7513
447	6085	7497
448	6097	7483
449	6111	7469
450	6124	7455
451	6138	7442
452	6151	7427
453	6162	7411
454	6175	7396
455	6188	7383
456	6201	7368
457	6213	7352
458	6225	7338
459	6238	7323
460	6250	7307
461	6261	7291
462	6274	7276
463	6285	7261
464	6298	7246
465	6310	7231
466	6323	7217
467	6337	7203
468	6348	7187
469	6360	7172
470	6372	7157
471	6384	7142
472	6396	7126
473	6409	7112
474	6421	7097
475	6434	7083
476	6449	7071
477	6465	7060
478	6479	7047
479	6493	7034
480	6507	7021
481	6520	7007
482	6534	6994
483	6545	6978
484	6558	6964
485	6571	6950
486	6584	6936
487	6597	6922
488	6608	6905
489	6622	6892
490	6635	6878
491	6648	6865
492	6662	6851
493	6677	6839
494	6688	6823
495	6701	6809
496	6714	6795
497	6725	6779
498	6737	6764
499	6750	6750
500	6762	6735
501	6775	6721
502	6787	6706
503	6800	6692
504	6813	6678
505	6824	6663
506	6835	6647
507	6848	6633
508	6861	6618
509	6875	6605
510	6888	6591
511	6900	6577
512	6913	6563
513	6926	6548
514	6938	6534
515	6950	6519
516	6963	6505
517	6977	6492
518	6988	6477
519	7000	6462
520	7013	6447
521	7026	6433
522	7038	6419
523	7051	6405
524	7063	6391
525	7077	6377
526	7091	6364
527	7103	6350
528	7115	6335
529	7128	6321
530	7141	6307
531	7155	6294
532	7168	6280
533	7181	6267
534	7194	6253
535	7206	6238
536	7219	6224
537	7230	6209
538	7243	6195
539	7256	6181
540	7269	6167
541	7283	6154
542	7297	6142
543	7310	6127
544	7322	6113
545	7335	6099
546	7348	6086
547	7359	6070
548	7372	6056
549	7385	6042
550	7398	6028
551	7410	6014
552	7423	6000
553	7436	5986
554	7448	5972
555	7459	5957
556	7472	5943
557	7485	5929
558	7499	5916
559	7513	5903
560	7528	5891
561	7543	5878
562	7559	5867
563	7575	5856
564	7590	5844
565	7603	5830
566	7617	5817
567	7631	5803
568	7645	5790
569	7658	5777
570	7670	5762
571	7683	5748
572	7699	5737
573	7715	5726
574	7731	5714
575	7746	5701
576	7759	5688
577	7775	5676
578	7787	5662
579	7801	5649
580	7814	5635
581	7829	5622
582	7843	5610
583	7858	5597
584	7873	5585
585	7887	5572
586	7900	5558
587	7914	5545
588	7926	5530
589	7937	5516
590	7948	5500
591	7959	5485
592	7970	5470
593	7980	5454
594	7991	5439
595	8002	5424
596	8013	5409
597	8025	5394
598	8036	5380
599	8048	5365
600	8059	5350
601	8072	5336
602	8085	5323
603	8097	5309
604	8108	5294
605	8121	5280
606	8135	5267
607	8148	5253
608	8161	5239
609	8173	5225
610	8186	5212
611	8198	5197
612	8208	5182
613	8220	5167
614	8232	5153
615	8243	5138
616	8253	5123
617	8265	5108
618	8276	5094
619	8286	5079
620	8298	5064
621	8308	5049
622	8319	5034
623	8331	5020
624	8342	5005
625	8353	4990
626	8364	4975
627	8375	4961
628	8385	4946
629	8396	4931
630	8408	4917
631	8418	4901
632	8429	4887
633	8441	4873
634	8451	4858
635	8463	4843
636	8474	4829
637	8485	4814
638	8496	4800
639	8508	4785
640	8520	4771
641	8530	4756
642	8542	4742
643	8552	4728
644	8563	4713
645	8575	4699
646	8586	4684
647	8596	4669
648	8608	4655
649	8619	4641
650	8629	4626
651	8641	4612
652	8652	4597
653	8663	4583
654	8675	4569
655	8686	4555
656	8697	4540
657	8709	4526
658	8720	4512
659	8731	4497
660	8743	4483
661	8754	4469
662	8766	4455
663	8777	4441
664	8788	4427
665	8800	4413
666	8812	4399
667	8824	4385
668	8836	4372
669	8848	4358
670	8859	4343
671	8870	4329
672	8882	4316
673	8893	4301
674	8904	4287
675	8917	4273
676	8928	4259
677	8939	4245
678	8952	4232
679	8964	4218
680	8974	4203
681	8987	4190
682	8999	4176
683	9011	4163
684	9022	4148
685	9034	4135
686	9045	4121
687	9056	4106
688	9067	4093
689	9079	4079
690	9091	4065
691	9103	4051
692	9114	4037
693	9126	4024
694	9137	4009
695	9149	3996
696	9161	3982
697	9171	3968
698	9182	3954
699	9194	3940
700	9205	3926
701	9215	3912
702	9227	3898
703	9237	3884
704	9248	3869
705	9261	3856
706	9272	3842
707	9283	3828
708	9294	3814
709	9306	3801
710	9317	3787
711	9334	3775
712	9345	3761
713	9358	3748
714	9369	3734
715	9380	3720
716	9391	3706
717	9402	3692
718	9412	3678
719	9424	3665
720	9435	3651
721	9446	3637
722	9458	3623
723	9470	3610
724	9480	3595
725	9492	3582
726	9503	3568
727	9515	3555
728	9526	3541
729	9537	3527
730	9548	3513
731	9558	3499
732	9570	3486
733	9581	3472
734	9592	3458
735	9604	3445
736	9616	3431
737	9626	3417
738	9638	3404
739	9650	3390
740	9661	3377
741	9672	3363
742	9686	3350
743	9697	3336
744	9711	3324
745	9725	3311
746	9741	3299
747	9755	3286
748	9767	3273
749	9780	3260
750	9792	3246
751	9805	3233
752	9817	3220
753	9831	3207
754	9843	3194
755	9856	3181
756	9869	3168
757	9883	3155
758	9894	3141
759	9906	3128
760	9917	3114
761	9930	3101
762	9943	3088
763	9955	3075
764	9968	3062
765	9980	3048
766	9992	3035
767	10004	3022
768	10016	3008
769	10028	2995
770	10040	2982
771	10052	2968
772	10063	2955
773	10075	2942
774	10087	2928
775	10098	2914
776	10112	2902
777	10123	2888
778	10134	2875
779	10145	2861
780	10156	2847
781	10169	2835
782	10179	2821
783	10190	2807
784	10203	2794
785	10216	2781
786	10227	2768
787	10238	2754
788	10250	2741
789	10260	2727
790	10271	2714
791	10283	2700
792	10294	2687
793	10306	2673
794	10317	2660
795	10328	2647
796	10339	2633
797	10351	2620
798	10362	2606
799	10373	2593
800	10385	2580
801	10397	2566
802	10407	2553
803	10419	2539
804	10430	2526
805	10441	2513
806	10451	2499
807	10463	2486
808	10473	2472
809	10485	2459
810	10497	2446
811	10509	2433
812	10519	2419
813	10531	2406
814	10542	2393
815	10552	2379
816	10563	2366
817	10574	2352
818	10585	2339
819	10596	2326
820	10607	2312
821	10618	2299
822	10629	2286
823	10640	2272
824	10651	2259
825	10663	2246
826	10674	2232
827	10684	2219
828	10698	2206
829	10709	2193
830	10719	2180
831	10730	2166
832	10742	2153
833	10753	2140
834	10763	2126
835	10775	2113
836	10786	2100
837	10796	2087
838	10809	2074
839	10821	2061
840	10831	2047
841	10842	2034
842	10853	2021
843	10864	2008
844	10876	1995
845	10887	1981
846	10898	1968
847	10910	1955
848	10921	1942
849	10932	1929
850	10942	1915
851	10954	1902
852	10965	1889
853	10975	1876
854	10987	1863
855	10998	1850
856	11009	1837
857	11021	1824
858	11033	1811
859	11044	1797
860	11055	1784
861	11066	1771
862	11076	1758
863	11088	1745
864	11100	1732
865	11111	1719
866	11122	1706
867	11133	1693
868	11144	1679
869	11155	1666
870	11166	1653
871	11176	1640
872	11187	1627
873	11199	1614
874	11210	1601
875	11221	1588
876	11233	1575
877	11243	1562
878	11254	1549
879	11265	1536
880	11276	1523
881	11287	1510
882	11298	1497
883	11311	1484
884	11323	1471
885	11335	1458
886	11347	1445
887	11359	1432
888	11370	1419
889	11383	1407
890	11396	1394
891	11408	1381
892	11419	1368
893	11432	1355
894	11444	1342
895	11456	1329
896	11467	1316
897	11480	1303
898	11493	1291
899	11509	1278
900	11534	1267
901	11626	1263
902	11656	1252
903	11668	1239
904	11679	1226
